Churn,account_Contract_month-to-month,customer_tenure,internet_Service_fiber_optic,account_Payment_electronic_check,account_Contract_two_year,account_Charges_Total
0,0,9,0,0,0,593.3
0,1,9,0,0,0,542.4
1,1,4,1,1,0,280.85
1,1,13,1,1,0,1237.85
1,1,3,1,0,0,267.4
0,1,9,0,0,0,571.45
0,0,71,1,0,1,7904.25
0,0,63,1,0,1,5377.8
0,1,7,0,1,0,340.35
0,0,65,0,0,1,5957.9
0,0,54,0,0,1,2460.55
0,0,72,1,0,1,8456.75
0,1,5,1,1,0,351.5
0,0,72,1,0,1,7261.25
0,0,56,0,0,1,2560.1
0,0,71,1,0,1,6849.4
0,0,34,0,0,0,1993.2
0,1,1,1,1,0,72.1
1,0,45,0,0,0,2791.5
1,1,1,0,1,0,25.1
0,0,50,0,1,0,1306.3
1,1,13,1,1,0,1215.6
0,1,23,1,1,0,1849.95
0,1,3,0,0,0,57.2
1,1,4,0,0,0,76.35
1,1,1,0,0,0,30.5
0,0,55,1,0,0,5656.75
0,0,54,0,0,1,1090.6
0,0,26,0,0,0,471.85
0,0,69,0,0,1,1396.9
0,0,37,1,0,0,3247.55
0,0,49,0,0,0,900.9
0,0,66,1,0,0,7942.15
0,0,67,0,1,0,1343.4
0,0,20,0,0,1,825.4
0,0,43,0,1,1,1070.15
0,1,55,1,0,0,4959.6
0,1,59,1,1,0,5597.65
0,0,12,0,0,1,224.5
0,1,27,1,0,0,1929.0
1,1,2,0,1,0,91.1
0,0,27,0,0,0,2078.95
0,0,25,0,0,1,630.6
0,0,25,0,0,0,1611.0
0,1,29,0,0,0,1242.45
0,0,72,0,0,1,6316.2
0,0,14,0,0,0,727.85
0,0,35,1,1,0,3532.0
0,1,1,0,0,0,44.3
0,1,29,1,1,0,2607.6
0,0,64,0,1,0,5567.55
0,1,39,1,0,0,3767.4
0,1,40,1,1,0,3673.6
1,1,40,1,0,0,4036.85
1,1,11,1,1,0,1120.3
0,1,6,0,1,0,314.55
0,1,30,0,0,0,1888.45
0,1,27,0,1,0,529.8
0,0,70,1,1,0,7308.95
0,0,57,1,0,0,6252.7
0,0,58,0,0,0,2878.55
0,1,16,0,0,0,1212.1
0,0,69,1,1,1,8182.85
1,1,1,0,1,0,19.85
1,1,1,1,1,0,99.75
0,1,32,1,0,0,2861.45
0,1,16,1,0,0,1442.2
1,0,49,0,1,0,4059.35
0,0,71,0,0,1,4145.9
